Customer Id,Sales,Order Profit Per Order,Order Item Discount,Margin (%),Value Tier
1,499.95,159.69,27.5,31.941194119411943,Silver
2,1819.73,208.74,201.07,11.47093250097542,Silver
3,3537.6800000000003,334.49,348.48,9.455066597318016,Gold
4,1719.6299999999999,-439.97999999999996,238.92000000000002,-25.585736466565486,At Risk (Loss-Making)
5,1274.75,309.84999999999997,172.82999999999998,24.306726809178265,Silver
6,3259.51,893.65,305.19,27.416697601786773,Platinum (Top 10%)
7,5569.4800000000005,964.89,699.86,17.324597628503916,Platinum (Top 10%)
8,3763.5,529.93,352.24,14.080775873521986,Gold
9,3229.6800000000003,-383.88,282.21999999999997,-11.886007282455227,At Risk (Loss-Making)
10,1264.79,-151.21999999999997,134.74,-11.956135010555109,At Risk (Loss-Making)
11,2429.65,294.92,270.38,12.138373839853477,Silver
12,6009.35,899.1,455.59,14.961684707996707,Platinum (Top 10%)
13,3185.62,882.26,370.76,27.695079764692586,Platinum (Top 10%)
14,2414.7200000000003,127.28,255.48,5.271004505698382,Silver
15,239.98000000000002,69.46000000000001,13.8,28.944078673222766,Silver
16,2349.77,708.9,179.8,30.168910148652845,Platinum (Top 10%)
17,4259.66,541.35,376.85,12.708760793114946,Gold
18,3519.6,407.06,264.28,11.565518808955563,Gold
19,4355.62,802.34,362.39,18.420798875935,Platinum (Top 10%)
20,1589.77,-757.64,81.09,-47.65720827541091,At Risk (Loss-Making)
21,2836.69,815.59,319.03,28.751467379234246,Platinum (Top 10%)
22,2744.6800000000003,823.9300000000001,229.48000000000002,30.019164347027704,Platinum (Top 10%)
23,4141.38,961.1,458.06,23.207240098711058,Platinum (Top 10%)
24,2769.47,509.59000000000003,268.84,18.400271532098202,Gold
25,929.87,191.81,138.48,20.627614612795337,Silver
26,3209.8,568.65,210.9,17.716057075207175,Gold
27,2065.66,597.1,225.75,28.906015510781064,Gold
28,2159.76,255.16,198.19,11.814275660258545,Silver
29,1329.87,-206.62000000000003,92.19,-15.536856986021194,At Risk (Loss-Making)
30,1105.89,-47.18000000000001,106.69,-4.2662470950998745,At Risk (Loss-Making)
31,3774.55,867.97,416.44,22.995323945900836,Platinum (Top 10%)
32,3409.51,846.05,327.23,24.8144161477749,Platinum (Top 10%)
33,1229.8700000000001,405.13,46.0,32.94087993039914,Gold
34,2989.6800000000003,468.0,301.69,15.65384924139038,Gold
35,2313.82,-516.76,198.0,-22.33363010087215,At Risk (Loss-Making)
36,1389.88,243.2,174.7,17.497913488934294,Silver
37,1329.76,372.5,116.49000000000001,28.012573697509325,Gold
38,2649.74,84.13999999999997,229.23000000000002,3.175405888879663,Silver
39,2934.7000000000003,-170.24999999999997,214.95,-5.801274406242545,At Risk (Loss-Making)
40,5253.62,507.91,619.16,9.66781000529159,Gold
41,2931.65,943.73,233.24,32.191086930568105,Platinum (Top 10%)
42,3289.66,560.08,351.39,17.025467677510747,Gold
43,1159.83,-209.41,61.35,-18.05523223230991,At Risk (Loss-Making)
44,2989.7400000000002,133.78,380.2,4.47463659047275,Silver
45,3329.7400000000002,482.78999999999996,323.2,14.499330278039723,Gold
46,3887.62,183.85999999999999,365.71,4.7293716978511275,Silver
47,679.96,-139.29,64.1,-20.485028531090062,At Risk (Loss-Making)
48,3509.62,228.63,240.94,6.514380474239377,Silver
49,1359.78,19.729999999999993,133.0,1.4509700098545348,Silver
50,2009.65,-46.61,143.37,-2.3193093324708283,At Risk (Loss-Making)
51,4513.43,1070.74,396.77,23.723420990244666,Platinum (Top 10%)
52,2119.77,273.67,361.42,12.910362916731533,Silver
53,4689.4800000000005,986.9300000000001,332.43,21.04561699804669,Platinum (Top 10%)
54,3109.6800000000003,762.8,395.68,24.52985516194592,Platinum (Top 10%)
55,4763.400000000001,645.65,601.09,13.554393920309021,Gold
56,2529.7,404.15000000000003,283.95,15.976202711784007,Gold
57,2159.7,-534.9599999999999,271.94,-24.770106959299902,At Risk (Loss-Making)
58,6615.16,-384.57,660.11,-5.813464829270947,At Risk (Loss-Making)
59,1869.75,272.57,154.09,14.577884743949726,Silver
60,1859.57,519.1800000000001,167.98000000000002,27.919357700973883,Gold
61,1714.75,419.01,219.32999999999998,24.43563201632891,Gold
62,1749.8300000000002,548.6,177.5,31.351617014224235,Gold
63,1829.79,446.61,229.79,24.407718918564427,Gold
64,1404.8700000000001,276.95,165.14,19.71356780342665,Silver
65,3975.62,637.75,381.77,16.041523083192054,Gold
66,3809.54,527.39,456.37,13.843928663303181,Gold
67,1887.77,459.73,130.46,24.353072673048096,Gold
68,1609.79,349.68,135.2,21.722087974207817,Gold
69,1651.81,430.96,258.57,26.09016775537138,Gold
70,3309.4900000000002,591.52,248.97,17.87344877911702,Gold
71,2987.73,71.53999999999999,351.05,2.3944600080997946,Silver
72,5274.530000000001,726.46,666.26,13.77298072055709,Platinum (Top 10%)
73,2719.73,-311.45,245.28,-11.451504377272743,At Risk (Loss-Making)
74,3349.56,129.82,269.07,3.8757329320866023,Silver
75,2549.77,-594.9,157.5,-23.33151617596881,At Risk (Loss-Making)
76,3329.65,773.11,438.91,23.218956947426904,Platinum (Top 10%)
77,3142.7200000000003,947.0,308.69,30.133133082170854,Platinum (Top 10%)
78,309.96000000000004,86.96000000000001,13.8,28.055232933281715,Silver
79,3674.6800000000003,871.34,169.9,23.711996690868318,Platinum (Top 10%)
80,2259.78,-303.26,299.59,-13.419890431811945,At Risk (Loss-Making)
81,431.97,-69.62,39.2,-16.116859967127347,At Risk (Loss-Making)
82,2674.54,91.28,254.26,3.4129233438273494,Silver
83,2879.6,565.88,375.55,19.651340463953325,Gold
84,2929.7400000000002,800.99,320.79,27.339968734426947,Platinum (Top 10%)
